EPIC Mafia;;;;;;;;;;;;;;
Members;Respect;Best;Avg;Attacks;Leave;Mug;Hosp;War;Assist;Retal;Overseas;Draw;Escape;Loss
Lykaios1LYKAIOS1 [3675061];75;10.02;5.37;14;14;0;0;2;0;0;0;0;0;1
-Poenie--POENIE- [2660709];94;12.32;7.23;13;12;0;1;12;0;0;9;0;0;0
DanniDravenDANNIDRAVEN [2326128];79;12.67;6.56;12;12;0;0;12;1;0;0;0;0;0
DocHammerMDDOCHAMMERMD [2671955];119;16.04;9.91;12;8;0;4;12;0;4;0;0;0;0
Bloodrose3BLOODROSE3 [3672395];96;12.84;8.73;11;11;0;0;10;0;0;0;0;0;4
JoePalettaJOEPALETTA [3803892];33;4.25;2.99;11;11;0;0;0;0;0;0;0;0;2
Maxey9320MAXEY9320 [3785490];44;9.64;4.45;10;7;2;1;1;2;0;0;0;0;9
bolthead0070BOLTHEAD0070 [2161745];57;12.85;7.18;8;8;0;0;7;0;0;0;0;0;1
MahibukiMAHIBUKI [1923612];39;9.23;5.63;7;7;0;0;7;0;0;0;0;0;1
FarmstFARMST [3182308];33;5.93;4.75;7;7;0;0;7;0;0;0;0;0;0
BIspBISP [3811041];33;5.25;4.77;7;7;0;0;0;0;0;0;0;0;1
The-SilenceTHE-SILENCE [2407136];42;10.35;7.02;6;6;0;0;6;0;0;0;0;0;0
BETA-BETA- [2866126];44;12.08;7.30;6;6;0;0;6;0;0;0;0;0;1
Teej136TEEJ136 [3301709];55;10.94;9.21;6;6;0;0;6;2;0;0;0;5;3
0Bane00BANE0 [3700645];59;10.76;9.85;6;5;0;1;6;0;0;0;0;0;0
QlasQLAS [3612329];19;6.30;3.74;5;5;0;0;1;0;0;1;0;0;0
PacificDragonPACIFICDRAGON [3744400];41;12.44;8.24;5;5;0;0;5;1;0;0;0;0;2
IOIIIIIOIIOIIIIIOI [2522325];28;11.88;6.98;4;4;0;0;4;1;0;0;0;0;0
sogunubicaSOGUNUBICA [2799812];17;4.53;4.16;4;4;0;0;4;0;0;0;0;0;2
GrayFoxIRLGRAYFOXIRL [3705449];17;6.05;4.27;4;4;0;0;2;0;0;0;0;0;2
DoofenshmirtzDOOFENSHMIRTZ [2105039];11;4.08;3.80;3;3;0;0;3;1;0;0;0;0;1
JumanneStruggleJUMANNESTRUGGLE [3316436];36;13.80;12.07;3;3;0;0;3;0;0;1;0;0;0
IjatSD1IJATSD1 [3803354];13;4.99;4.36;3;3;0;0;0;0;0;0;0;0;0
alirhlALIRHL [2728756];17;10.10;8.37;2;2;0;0;2;1;0;0;0;0;1
Ebenz33EBENZ33 [2864324];10;6.23;4.78;2;1;1;0;1;0;0;1;0;0;0
PaddeyyPADDEYY [3751400];17;9.27;8.56;2;0;0;2;2;0;0;0;0;0;0
AfterEightAFTEREIGHT [3776266];20;10.27;10.22;2;2;0;0;2;18;0;0;0;0;13
21Bam21BAM [3781782];9;4.99;4.74;2;2;0;0;0;0;0;0;0;0;1
